"id","aoguid","shortname","offname"
1,"00012df6-ee93-476a-a65d-41ae8802e6b8",ул,Ярославская
2,"00780a9c-32a1-41ba-ae1e-0b09a2d846d3",ул,"5-я Северная"
3,"009e6d33-b007-4c28-b0c1-fc01342fe95b",ул,Лобкова
4,"012018c1-fea1-448e-94b6-bb964a5223b6",ул,Пугачева
5,"01339f2b-6907-4cb8-919b-b71dbed23f06",ул,Линейная
6,"0145b05f-2c4d-4b6d-8f88-bd25af842259",ул,Селекционная
7,"0167c8d1-48c8-4d56-85fd-29921106a5cb",ул,Днепровская
8,"0218bf4d-8726-477b-850c-879a4cc0e120",тракт,Старый Тобольский 3 км
9,"025bc26d-53c6-481f-b6aa-16e4d705eb65",ул,Литовская
10,"02700272-1ad0-4f95-b62d-4cff04055380",ул,Карская
11,"02764cef-ea3e-4833-947b-069628628812",ул,Хвойная
12,"0278d3ee-4e17-4347-b128-33f8f62c59e0",ул,Орджоникидзе
13,"027ca250-253f-4bf7-a3d5-2a3548ac9449",ул,Оптимистов
14,"02c8e0af-d5da-43ba-9033-110addf8a2df",ул,Новокузнецкая
15,"02eb7313-5529-4a3d-8fe8-b2210b16bea9",проезд,"2-й Избышевский"
16,"033922c8-f8b3-4932-b483-a2e51bdfea16",ул,Светлая
17,"03cc45c7-6dd1-4ef2-8ed4-c51de39d9e17",проезд,Миндальный
18,"0417c207-fec0-4ccc-a1c7-5da4e1c25484",пер,Печерский
19,"04b69ad1-5778-48a1-b9f3-567e311862ad",ул,Рыночная
20,"0541048f-ad4e-43bd-8048-d925579dbc6c",ул,Магаданская
21,"0547940f-5523-44ce-abed-96a63efb3f3f",ул,Усиевича
22,"0548d7b8-c23c-4403-b984-3c818753b7fa",ул,Княжевская
23,"054feac7-9e4d-4a89-90fc-2e1c7e43ce0c",пер,Дальневосточный
24,"0582aabd-4f78-41d7-90fa-d2fb19955610",ул,Котовского
25,"05dadf3f-31b2-4864-917b-f2804e2b9c5f",ул,Просторная
26,"060380ca-0887-4e32-8605-336594ecb068",ул,Красная
27,"060d4f49-6dac-4bdf-b59b-c01201b7c1a0",ул,Связистов
28,"06429ebc-7d79-4dd3-8069-c246e134dea5",ул,Федора Дозорцева
29,"0657a0ce-05c8-464c-8145-354da46bb99e",пер,"1-й Новый"
30,"069593cb-3ace-42cf-87df-1334d88aa70c",ул,"3-я Рассветная"
31,"06c37925-b4ad-4e57-b2ee-f0eaf15f30e3",ул,"2-я Луговая"
32,"06e9b1ea-1a6a-4019-ae51-5276601a40bb",ул,Болотникова
33,"07306367-2694-4ee0-92fe-4b245d22e581",ул,Пароходская
34,"080aac94-745d-47d4-898d-e36fb7f0aef3",ул,Комиссаржевской
35,"08138902-1243-410a-bb89-4969da8cc88f",ул,Рижская
36,"0845ebb0-b96b-4179-8cac-ba09ae1c6b22",ул,Ушакова
37,"089f18ee-6385-4d8d-b8e8-af37f216610c",ул,Архитекторов
38,"09418653-3f2a-4716-b940-9bd4fd23edac",ул,Тимуровцев
39,"095c293e-879f-43a2-aa50-eccbea3e6402",ул,Карамзина
40,"09be0aad-beed-4a96-991c-3763bb15b953",ул,Удачная
41,"09c72066-cfd2-404b-aff1-43aaa6a980e5",ул,Победы
42,"09ce4d05-c02a-45a2-bbdb-52c75dd09438",пер,Иркутский
43,"09f22fd5-2579-4535-b885-99398440a544",ул,Салымская
44,"09fc9c65-0b7a-4944-a4a5-75f4e48f59de",ул,Малая Заречная
45,"0a320b5d-755c-473b-9bd7-290885499c37",ул,Даудельная
46,"0a61da2d-ed5d-4213-98a6-607612fcbaa4",пер,Никольский
47,"0b041482-3f11-40a7-886f-bb938b2d2484",ул,Береговая
48,"0b745935-889b-4392-99f8-419f5d604076",ул,Павла Зырянова
49,"0b9399d4-b9bd-4a38-9a56-0148fffa7012",ул,Ижевская
50,"0bb4e878-9e22-49cb-b861-e35f1921f068",пер,Запотоцкого
51,"0bb90af6-31d5-42fc-9cf7-15098c9941fe",ул,Котельщиков
52,"0bbd3ebf-4fd5-41cc-87dc-0a1dca919746",ул,Дзержинского
53,"0be6897f-32a3-485f-b4c2-2ea4464d51c4",ул,Южная
54,"0c475a02-c504-43de-bc51-e6d6596ecc9b",ул,Николая Гондатти
55,"0cd4d2a4-5553-4caa-a307-6a5187698594",ул,Новозаимская
56,"0d1be73d-3e55-4608-a6ba-defcd728504c",тракт,Салаирский 13 км
57,"0d271f47-749a-4552-8638-4338dd5df05a",пер,"4-й Гостевой"
58,"0d997b92-b327-4f7b-9bda-93f60b4099db",ул,Габдуллы Тукая
59,"0dd5ae97-0e71-43ac-a124-9b49811ecf40",проезд,Онежский
60,"0e7d7c4d-b57f-41b7-ab40-275f37072143",пер,"3-й Новый"
61,"0e89f055-0d6b-4fba-a9c6-1519afb9f262",ул,Тарманская
62,"0ea02d8e-d6df-49fe-a220-24ee77af93cb",ул,Шевченко
63,"0eaa1e43-a5c7-4eb4-b6b6-ee68155211d3",пер,Казаровский
64,"0eec1b4f-dd7f-44f3-9ccb-bf3c1985b917",тракт,Салаирский
65,"0ef4294c-7c17-423b-b714-f33d7a46056d",ул,Городская
66,"0f4334a0-b7b2-4769-9aac-77a92925968f",ул,Депутатская
